,Drug_ID1,Drug_ID2,Weight
98287,DB00177,DB00690,0.5278562789249858
98296,DB00177,DB00875,0.5480090125282818
98299,DB00177,DB06230,0.5149543283787102
98304,DB00177,DB00714,0.5486908650504562
98306,DB00177,DB00647,0.518125011682614
98314,DB00177,DB00683,0.5070205302154961
98318,DB00177,DB00913,0.5115651786858616
98328,DB00177,DB01588,0.5251896637601322
98330,DB00177,DB00496,0.526097571135149
98338,DB00177,DB01452,0.5113733626794272
98340,DB00177,DB01192,0.5045844459798375
98360,DB00177,DB00933,0.5454410982222069
98365,DB00177,DB00598,0.5040357097923573
98377,DB00177,DB00802,0.5098801917384476
98380,DB00177,DB00477,0.5428943451645102
98406,DB00177,DB01100,0.531292198699274
98420,DB00177,DB01348,0.5297103342153165
98426,DB00177,DB00246,0.5417501657383014
98446,DB00177,DB01029,0.6337619660763608
98461,DB00177,DB00983,0.5132574196653373
98462,DB00177,DB00899,0.5274772207276553
98467,DB00177,DB01136,0.5008327923568785
98476,DB00177,DB00611,0.5130048747257735
98477,DB00177,DB06207,0.5200497450399142
98478,DB00177,DB01624,0.5330065182795807
98481,DB00177,DB00275,0.9125840537944284
98483,DB00177,DB00334,0.521531345344265
98488,DB00177,DB00872,0.5370758468598307
98492,DB00177,DB00696,0.554300873382781
98494,DB00177,DB00656,0.5389675829398932
98500,DB00177,DB00612,0.5011466738232478
98537,DB00177,DB06196,0.510218055592773
98547,DB00177,DB09205,0.5292484598344819
98566,DB00177,DB01173,0.5526878998426653
98568,DB00177,DB00850,0.5314196468693598
98594,DB00177,DB06016,0.5467223297107785
98597,DB00177,DB09071,0.5113174097685345
98602,DB00177,DB01193,0.5113317653265758
98611,DB00177,DB00708,0.5231737612950007
98628,DB00177,DB05039,0.518583060765859
98641,DB00177,DB00264,0.5005115048305628
98647,DB00177,DB00411,0.5378472500955657
98651,DB00177,DB00187,0.5156428480621845
98654,DB00177,DB01205,0.5000112785880929
98661,DB00177,DB00751,0.5105848112376227
98666,DB00177,DB00790,0.5457791413012885
98678,DB00177,DB00881,0.5431900076908567
98684,DB00177,DB00842,0.5166079429729787
98713,DB00177,DB00747,0.518948380224344
98725,DB00177,DB00796,0.8854534746760896
98728,DB00177,DB09242,0.506853389685254
98729,DB00177,DB08897,0.517259064931304
98730,DB00177,DB00517,0.5160593372645061
98733,DB00177,DB00183,0.5627656851124003
98735,DB00177,DB01231,0.5286234398286087
98739,DB00177,DB00353,0.5447826732840667
98740,DB00177,DB01559,0.5192925930401027
98747,DB00177,DB09099,0.5022240856089003
98749,DB00177,DB00722,0.5277108259569497
98757,DB00177,DB00854,0.5140955282393346
98783,DB00177,DB00949,0.5261301326848749
98789,DB00177,DB00960,0.5073531313941628
98790,DB00177,DB13345,0.5328778793315303
98794,DB00177,DB00216,0.511568534658572
98797,DB00177,DB00659,0.5125891580170684
98799,DB00177,DB00502,0.5694653274519144
98805,DB00177,DB01340,0.5306063183593275
98808,DB00177,DB00968,0.5081329055619038
98817,DB00177,DB00584,0.5339569892473118
98827,DB00177,DB00035,0.5121833584927172
98830,DB00177,DB04846,0.5073381753054301
98837,DB00177,DB00623,0.5139729349444263
98843,DB00177,DB04861,0.5097367798119201
98849,DB00177,DB09030,0.5606472435624735
98873,DB00177,DB00315,0.5096423893434442
98885,DB00177,DB09068,0.5069518857449221
98893,DB00177,DB01359,0.500234814059742
98894,DB00177,DB00637,0.5478565563810507
98904,DB00177,DB00484,0.5211971100935905
98907,DB00177,DB00734,0.5338863084132018
98909,DB00177,DB01079,0.5684012662393524
98910,DB00177,DB00628,0.5013082131988259
98914,DB00177,DB09076,0.5114313406114264
98922,DB00177,DB00559,0.5478414689644623
98925,DB00177,DB00834,0.5035763091189777
98927,DB00177,DB11362,0.5177948864552638
98929,DB00177,DB00372,0.534960041572676
98938,DB00177,DB00335,0.5033712855378335
98942,DB00177,DB00418,0.5095472063244402
98943,DB00177,DB00800,0.5303173997769717
98948,DB00177,DB05271,0.5401237490058036
98971,DB00177,DB09080,0.5061163774007343
98979,DB00177,DB01595,0.5138764382456403
98981,DB00177,DB00921,0.514112229688922
98983,DB00177,DB00387,0.5090601544937602
98985,DB00177,DB00801,0.5137587101530585
99001,DB00177,DB00813,0.5067376525057702
99003,DB00177,DB00986,0.5260005846867856
99010,DB00177,DB06684,0.5302976897910129
99016,DB00177,DB00575,0.5227645712221569
99017,DB00177,DB00844,0.5141133345071408
99022,DB00177,DB00725,0.5143777187311747
99031,DB00177,DB06702,0.5284142426874961
99045,DB00177,DB04946,0.5276108766375187
99058,DB00177,DB01274,0.507856072574082
99067,DB00177,DB00450,0.5192663301119528
