Disease,Drug
D001932,DB01206
D001932,DB12130
D001932,DB00563
D001932,DB01229
D001932,DB00806
D001932,DB01168
D001932,DB00444
D001932,DB00541
D001932,DB00309
D020526,DB00297
D020526,DB00907
D020526,DB00668
D020526,DB00492
D020526,DB01275
D020526,DB01115
D020295,DB09073
D018437,DB00907
D010244,DB00987
D010244,DB00668
D010244,DB00544
D020165,DB03793
D002340,DB00182
D002340,DB00696
D002340,DB01109
D002340,DB00627
D002340,DB00412
D020212,DB00006
D020212,DB00877
D020215,DB00907
D020215,DB00898
D002341,DB01118
D002341,DB01200
D002341,DB00851
D002341,DB01406
D002341,DB00997
D002341,DB00696
D002341,DB00783
D002341,DB00396
D002341,DB00302
D016893,DB00758
D016893,DB00668
D016893,DB00445
D016893,DB00435
D016893,DB00635
D002349,DB01217
D002349,DB00537
D002349,DB01406
D002349,DB00829
D002349,DB00822
D002349,DB00264
D002349,DB00571
D002349,DB01041
D002349,DB00682
D002375,DB00316
D002375,DB03128
D002375,DB00770
D002375,DB00915
D002375,DB01118
D002375,DB06288
D002375,DB00321
D002375,DB00381
D002375,DB00613
D002375,DB00543
D002375,DB00714
D002375,DB01238
D002375,DB00126
D002375,DB00572
D002375,DB00181
D002375,DB00810
D002375,DB01200
D002375,DB00490
D002375,DB00201
D002375,DB09061
D002375,DB00190
D002375,DB00521
D002375,DB00403
D002375,DB00475
D002375,DB00608
D002375,DB00477
D002375,DB00568
D002375,DB01242
D002375,DB00575
D002375,DB00363
D002375,DB00907
D002375,DB00318
D002375,DB00531
D002375,DB00091
D002375,DB00434
D002375,DB01151
D002375,DB01191
D002375,DB01576
D002375,DB00514
D002375,DB00829
D002375,DB00343
D002375,DB12789
D002375,DB00917
D002375,DB01075
D002375,DB01184
D002375,DB00988
D002375,DB00470
D002375,DB06262
D002375,DB01240
D002375,DB00783
D002375,DB00949
D002375,DB00574
D002375,DB00813
D002375,DB01205
D002375,DB04841
D002375,DB00472
D002375,DB00623
D002375,DB02530
D002375,DB00502
D002375,DB00741
D002375,DB01050
D002375,DB00458
D002375,DB00328
D002375,DB11757
D002375,DB01221
D002375,DB01026
D002375,DB00007
D002375,DB00848
D002375,DB01235
D002375,DB00854
D002375,DB00408
D002375,DB09238
D002375,DB00934
D002375,DB00657
D002375,DB00939
D002375,DB00603
D002375,DB01065
D002375,DB01043
D002375,DB00454
D002375,DB13520
D002375,DB00333
D002375,DB00723
D002375,DB06800
D002375,DB00247
D002375,DB01233
D002375,DB06148
D002375,DB00683
D002375,DB00805
D002375,DB00370
D002375,DB01618
D002375,DB09282
D002375,DB00295
D002375,DB01183
D002375,DB00704
D002375,DB06711
D002375,DB00788
D002375,DB00184
D002375,DB01115
D002375,DB04743
D002375,DB00393
D002375,DB01595
D002375,DB01054
D002375,DB00325
D002375,DB04821
D002375,DB00368
D002375,DB00540
D002375,DB00334
D002375,DB00776
D002375,DB01580
D002375,DB01062
D002375,DB01113
D002375,DB05829
D002375,DB00652
D002375,DB00850
D002375,DB00252
D002375,DB00981
D002375,DB01085
D002375,DB05316
D002375,DB01100
D002375,DB00960
D002375,DB00670
D002375,DB00413
D002375,DB00721
D002375,DB00433
D002375,DB00396
D002375,DB01069
D002375,DB12278
D002375,DB00571
D002375,DB00550
D002375,DB00344
D002375,DB01367
D002375,DB00409
D002375,DB00206
D002375,DB06155
D002375,DB00734
D002375,DB00268
D002375,DB00747
D002375,DB01037
D002375,DB06144
D002375,DB09072
D002375,DB00605
D002375,DB00391
D002375,DB00864
D002375,DB00624
D002375,DB04844
D002375,DB00277
D002375,DB11590
D002375,DB00679
D002375,DB01623
D002375,DB00323
D002375,DB00656
D002375,DB00755
D002375,DB00831
D002375,DB00376
D002375,DB11699
D002375,DB00661
D002375,DB06694
D002375,DB01392
D002375,DB00246
D002375,DB09225
D002385,DB00321
D002385,DB00182
D002385,DB00572
D002385,DB01242
D002385,DB00575
D002385,DB00363
D002385,DB01576
D002385,DB00472
D002385,DB00502
D002385,DB00579
D002385,DB00422
D002385,DB00247
D002385,DB00981
D002385,DB01100
D002385,DB00457
D002385,DB00344
D002389,DB00640
D002389,DB00802
D002389,DB00915
D002389,DB00855
D002389,DB06288
D002389,DB00714
D002389,DB00207
D002389,DB00181
D002389,DB01200
D002389,DB00490
D002389,DB00201
D002389,DB00564
D002389,DB00190
D002389,DB00482
D002389,DB00477
D002389,DB00501
D002389,DB01068
D002389,DB00575
D002389,DB00363
D002389,DB00907
D002389,DB00434
D002389,DB01219
D002389,DB01576
D002389,DB00829
D002389,DB01075
D002389,DB00822
D002389,DB00843
D002389,DB00988
D002389,DB00292
D002389,DB00574
D002389,DB00472
D002389,DB00623
D002389,DB02530
D002389,DB00502
D002389,DB05381
D002389,DB00557
D002389,DB01221
D002389,DB01202
D002389,DB01235
D002389,DB00186
D002389,DB00408
D002389,DB00934
D002389,DB01065
D002389,DB00454
D002389,DB00422
D002389,DB00295
D002389,DB01183
D002389,DB00788
D002389,DB04743
D002389,DB01165
D002389,DB00334
D002389,DB00338
D002389,DB00850
D002389,DB00780
D002389,DB00397
D002389,DB00960
D002389,DB00592
D002389,DB00860
D002389,DB00635
D002389,DB01032
D002389,DB00433
D002389,DB00206
D002389,DB00734
D002389,DB00533
D002389,DB00747
D002389,DB01037
D002389,DB01104
D002389,DB00391
D002389,DB00864
D002389,DB00679
D002389,DB01623
D002389,DB00193
D002389,DB00831
D002389,DB00376
D002389,DB00313
D002422,DB00181
D002422,DB01068
D002422,DB01221
D002422,DB00281
D002422,DB00683
D002422,DB01618
D002422,DB00925
D020226,DB00531
D020226,DB01045
D020806,DB01212
D020863,DB00907
D002493,DB00915
D002493,DB01223
D002493,DB01118
D002493,DB00714
D002493,DB09274
D002493,DB00993
