Disease1,Disease2,Sim_score
D000170,D020364,0.3309636187027535
D000170,D020371,0.10349402794685811
D000170,D020385,0.10995749449770047
D000170,D020386,0.350475088
D000170,D020388,0.2975997374375116
D000170,D020389,0.25613619343223293
D000170,D020391,0.26724205848675764
D000170,D020417,0.10827607107178124
D000170,D020421,0.1466806122091703
D000170,D020422,0.4624128386222604
D000170,D020423,0.42487228323703013
D000170,D020424,0.392026981
D000170,D020425,0.3591508599380775
D000170,D020426,0.41822633955932104
D000170,D020427,0.36279275628958574
D000170,D020428,0.35073181547316773
D000170,D020429,0.3757037856167381
D000170,D020430,0.3359842960910867
D000170,D020431,0.12192369289199156
D000170,D020432,0.11842178736164058
D000170,D020433,0.13874999800735846
D000170,D020435,0.11860675661482649
D000170,D020437,0.12041521170652003
D000170,D020447,0.13992845967559375
D000170,D020511,0.3643372106098627
D000170,D020512,0.2517503111801414
D000170,D020513,0.2406653363451856
D000170,D020514,0.2611590296459725
D000170,D020516,0.4152409387785406
D000170,D020520,0.1578649261790262
D000170,D020521,0.17419866895316619
D000170,D020526,0.11094904580707546
D000170,D020528,0.11030976939883974
D000170,D020529,0.11874240042500342
D000170,D020720,0.25237678045083933
D000170,D020721,0.1471548299940693
D000170,D020734,0.1698384538000497
D000170,D020739,0.16705716322839417
D000170,D020752,0.16332057542116063
D000170,D020754,0.12557243781360877
D000170,D020757,0.10669162220750783
D000170,D020758,0.11741253007172914
D000170,D020759,0.10378406951704337
D000170,D020760,0.11299168945579911
D000170,D020762,0.1034855091501207
D000170,D020765,0.1692172637787759
D000170,D020766,0.11888654595660517
D000170,D020767,0.12844385344779957
D000170,D020773,0.1685219995897477
D000170,D020774,0.10655079610561899
D000170,D020779,0.10694212819264344
D000170,D020785,0.14609756656269718
D000170,D020786,0.11069241958425513
D000170,D020787,0.10520028294735366
D000170,D020788,0.10866374170123456
D000170,D020795,0.11057715879659821
D000170,D020802,0.10987052716388798
D000170,D020803,0.10807417439349154
D000170,D020804,0.10347606686957529
D000170,D020805,0.1674078195204015
D000170,D020806,0.16411302344149306
D000170,D020807,0.14538621499610963
D000170,D020808,0.13227235694901798
D000170,D020809,0.11802046074329424
D000170,D020814,0.10379762470911869
D000170,D020818,0.10347957976350348
D000170,D020819,0.1258905204295684
D000170,D020820,0.17594629480600016
D000170,D020821,0.13654908682856104
D000170,D020828,0.10944100509931556
D000170,D020833,0.10884000575295283
D000170,D020852,0.10804044150371064
D000170,D020863,0.12357388261419817
D000170,D020879,0.17424604509531372
D000170,D020886,0.15382643819510816
D000170,D020914,0.2960308594413545
D000170,D020915,0.11011478340679985
D000170,D020918,0.4215373998338226
D000170,D020919,0.16872591852656396
D000170,D020920,0.17801112003472078
D000170,D020921,0.11382593921885083
D000170,D020922,0.10737858079474787
D000170,D020923,0.11509479072857517
D000170,D020925,0.11909231925846095
D000170,D020936,0.10816972315262854
D000170,D020937,0.10326920700314476
D000170,D020938,0.10448072148011119
D000170,D020941,0.2258392738364599
D000170,D020943,0.097372592
D000170,D020945,0.10554436873630899
D000170,D020953,0.10645233068951065
D000170,D020955,0.10211947985727314
D000170,D020961,0.11228650676974498
D000170,D020966,0.360858637
D000170,D020967,0.32890273332211717
D000170,D020968,0.3735468250305282
D000170,D021081,0.13904093244490592
D000170,D024801,0.18146625992931717
D000170,D025962,0.11385732916561783
D000170,D028227,0.3495980968266946
D000170,D028243,0.092678736
D000170,D029241,0.10394992699751546
D000170,D029242,0.10743524033605527
D000170,D029461,0.10100457206189759
D000170,D034062,0.10225023218850637
