,Drug,Disease
725,DB00811,D020330
726,DB01118,D001766
727,DB00126,D001766
728,DB09121,D001766
729,DB00993,D001766
730,DB00207,D001766
731,DB00443,D001766
732,DB00201,D001766
733,DB00262,D001766
734,DB00608,D001766
735,DB00477,D001766
736,DB00537,D001766
737,DB00515,D001766
738,DB00242,D001766
739,DB00907,D001766
740,DB04838,D001766
741,DB00987,D001766
742,DB01234,D001766
743,DB01119,D001766
744,DB00330,D001766
745,DB00898,D001766
746,DB00441,D001766
747,DB00741,D001766
748,DB00951,D001766
749,DB01221,D001766
750,DB00281,D001766
751,DB01206,D001766
752,DB00961,D001766
753,DB00331,D001766
754,DB00333,D001766
755,DB00563,D001766
756,DB00959,D001766
757,DB00325,D001766
758,DB00368,D001766
759,DB00904,D001766
760,DB01062,D001766
761,DB01113,D001766
762,DB00914,D001766
763,DB00721,D001766
764,DB00165,D001766
765,DB00468,D001766
766,DB01045,D001766
767,DB00302,D001766
768,DB00376,D001766
769,DB00541,D001766
770,DB00162,D001766
771,DB00682,D001766
772,DB00316,D019575
773,DB06151,D019575
774,DB00290,D019575
775,DB01200,D019575
776,DB00297,D019575
777,DB00515,D019575
778,DB00091,D019575
779,DB00441,D019575
780,DB00959,D019575
781,DB01115,D019575
782,DB00325,D019575
783,DB00864,D019575
784,DB00570,D019575
785,DB00541,D019575
786,DB00309,D019575
787,DB00907,D001906
788,DB00864,D020968
789,DB00297,D020516
790,DB00987,D020516
791,DB01109,D020516
792,DB00415,D001922
793,DB00446,D001922
794,DB01234,D001922
795,DB00563,D001922
796,DB00916,D001922
797,DB01263,D001922
798,DB00635,D001922
799,DB01045,D001922
800,DB00182,D001925
801,DB00201,D001925
802,DB00564,D001925
803,DB00907,D001925
804,DB00158,D001925
805,DB01085,D001925
806,DB00864,D001925
807,DB00819,D001926
808,DB00563,D001926
809,DB00316,D001927
810,DB00718,D001927
811,DB00437,D001927
812,DB11081,D001927
813,DB01223,D001927
814,DB01118,D001927
815,DB00321,D001927
816,DB00182,D001927
817,DB00673,D001927
818,DB00126,D001927
819,DB00928,D001927
820,DB00993,D001927
821,DB00181,D001927
822,DB12783,D001927
823,DB00290,D001927
824,DB00297,D001927
825,DB01101,D001927
826,DB00564,D001927
827,DB00190,D001927
828,DB00262,D001927
829,DB01413,D001927
830,DB00493,D001927
831,DB00438,D001927
832,DB01212,D001927
833,DB01112,D001927
834,DB00608,D001927
835,DB00122,D001927
836,DB00568,D001927
837,DB00537,D001927
838,DB01068,D001927
839,DB00907,D001927
840,DB01394,D001927
841,DB00260,D001927
842,DB00091,D001927
843,DB00987,D001927
844,DB00970,D001927
845,DB01406,D001927
846,DB00746,D001927
847,DB01234,D001927
848,DB00829,D001927
849,DB00586,D001927
850,DB00390,D001927
851,DB00320,D001927
852,DB00975,D001927
853,DB00822,D001927
854,DB01248,D001927
855,DB00997,D001927
856,DB00783,D001927
857,DB00898,D001927
858,DB00609,D001927
859,DB00593,D001927
860,DB00813,D001927
861,DB01216,D001927
862,DB04841,D001927
863,DB00544,D001927
864,DB00472,D001927
865,DB00176,D001927
866,DB00158,D001927
867,DB00695,D001927
868,DB00996,D001927
869,DB01004,D001927
870,DB00502,D001927
871,DB01159,D001927
872,DB00756,D001927
873,DB00999,D001927
874,DB00741,D001927
875,DB01005,D001927
876,DB01050,D001927
877,DB01181,D001927
878,DB01598,D001927
879,DB00328,D001927
880,DB01592,D001927
881,DB00753,D001927
882,DB00951,D001927
883,DB01221,D001927
884,DB00581,D001927
885,DB01202,D001927
886,DB01235,D001927
887,DB14509,D001927
888,DB01206,D001927
889,DB00408,D001927
890,DB00358,D001927
891,DB01065,D001927
892,DB01043,D001927
893,DB00563,D001927
894,DB01028,D001927
895,DB09241,D001927
896,DB00959,D001927
897,DB00916,D001927
898,DB00683,D001927
899,DB01017,D001927
900,DB00295,D001927
901,DB01183,D001927
902,DB00994,D001927
903,DB00184,D001927
904,DB00325,D001927
905,DB01092,D001927
906,DB00776,D001927
907,DB01229,D001927
908,DB00312,D001927
909,DB01174,D001927
910,DB00252,D001927
911,DB00794,D001927
912,DB01168,D001927
913,DB00818,D001927
914,DB00550,D001927
915,DB00205,D001927
916,DB01045,D001927
917,DB00533,D001927
918,DB00360,D001927
919,DB00747,D001927
920,DB01236,D001927
921,DB00877,D001927
922,DB00359,D001927
923,DB00795,D001927
924,DB00605,D001927
925,DB00864,D001927
926,DB00277,D001927
927,DB00152,D001927
928,DB00273,D001927
929,DB00755,D001927
930,DB00376,D001927
931,DB00313,D001927
932,DB01080,D001927
933,DB00541,D001927
934,DB00162,D001927
935,DB00163,D001927
936,DB00543,D001928
937,DB01393,D001928
938,DB00672,D001928
939,DB00091,D001928
940,DB00746,D001928
941,DB00343,D001928
942,DB00959,D001928
943,DB00776,D001928
944,DB00914,D001928
945,DB00433,D001928
946,DB00428,D001928
947,DB00864,D001928
948,DB01124,D001928
949,DB00273,D001928
950,DB00313,D001928
951,DB11094,D001928
952,DB00316,D001929
953,DB00819,D001929
954,DB06151,D001929
955,DB01200,D001929
956,DB00201,D001929
957,DB09061,D001929
958,DB00262,D001929
959,DB00477,D001929
960,DB00907,D001929
961,DB11672,D001929
962,DB00987,D001929
963,DB00694,D001929
964,DB00746,D001929
965,DB01234,D001929
966,DB00829,D001929
967,DB08809,D001929
968,DB00470,D001929
969,DB00584,D001929
970,DB00696,D001929
971,DB00898,D001929
972,DB00292,D001929
973,DB00502,D001929
974,DB01109,D001929
975,DB00756,D001929
976,DB00741,D001929
977,DB00328,D001929
978,DB01206,D001929
979,DB00186,D001929
980,DB00653,D001929
981,DB01065,D001929
982,DB00333,D001929
983,DB00563,D001929
984,DB00968,D001929
985,DB00916,D001929
986,DB01017,D001929
987,DB00184,D001929
988,DB00393,D001929
989,DB00727,D001929
990,DB00325,D001929
991,DB01092,D001929
992,DB09140,D001929
993,DB00107,D001929
994,DB01229,D001929
995,DB00652,D001929
996,DB00692,D001929
997,DB00388,D001929
998,DB00252,D001929
999,DB01085,D001929
1000,DB01132,D001929
1001,DB00818,D001929
1002,DB00852,D001929
1003,DB00412,D001929
1004,DB01104,D001929
1005,DB00641,D001929
1006,DB00864,D001929
1007,DB00302,D001929
1008,DB00755,D001929
1009,DB00313,D001929
1010,DB00309,D001929
1011,DB00162,D001929
1012,DB00744,D001929
1013,DB00396,D020201
1014,DB01418,D020520
1015,DB00459,D020520
1016,DB06441,D020520
1017,DB00515,D020520
1018,DB01242,D020520
1019,DB00363,D020520
1020,DB00822,D020520
1021,DB00584,D020520
1022,DB00696,D020520
1023,DB00544,D020520
1024,DB00472,D020520
1025,DB01109,D020520
1026,DB00422,D020520
1027,DB00959,D020520
1028,DB00393,D020520
1029,DB01092,D020520
1030,DB01229,D020520
1031,DB00252,D020520
1032,DB00641,D020520
1033,DB00877,D020520
1034,DB01041,D020520
1035,DB00163,D020520
1036,DB06151,D001930
1037,DB00132,D001930
1038,DB11081,D001930
1039,DB00915,D001930
